product_name,product_price,product_rating,order_info
KIDSUN Unisex Baby Boys Girls High Top Sneaker Soft Anti-Slip Sole Newborn Infant First Walkers Canvas Denim Shoes,"11
","4.6 out of 5 stars
                     









                    4,657",6K+ bought in past month
Baby Car Camera Ease Installation: Eye Protection Clear Night Vision 360° Rotation Stability Backseat Camera for 2 Kids HD 1080P Car Baby Monitor with Infant Carseat Camera Rear Facing -Rohent N06,"25
","4.7 out of 5 stars
                     









                    482",2K+ bought in past month
Sunny zzzZZ 2 Pack Unisex Baby Plush Animal Face Robe for 0-9 Months - Neutral Design Newborn Clothes for Boys and Girls - Baby Essentials Registry Search Gifts - Cute Bee and Happy Elephant,"11
","4.6 out of 5 stars
                                 









                                172",100+ bought in past month
"Konny Baby Bibs 5-Pack, 360 ​​° Rotate, Soft and Absorbent Bandana Drooling for Boys Girls baby Essentials","33
","4.8 out of 5 stars
                                 









                                1,530",1K+ bought in past month
"Tiny Twinkle Mess-Proof Baby Bib - Waterproof Bib for Baby Boy or Girl - PVC, BPA & Phthalate Free - Baby Food Bibs","16
","4.7 out of 5 stars
                                 









                                3,107",1K+ bought in past month
"Tiny Twinkle Mess Proof Baby Bib, 2 Pack Long Sleeve Bib Outfit, Waterproof Bibs for Toddlers, Machine Washable, Tug Proof…","19
","4.7 out of 5 stars
                                 









                                3,863",1K+ bought in past month
"Tiny Twinkle Mess Proof Baby Bib, Cute Full Sleeve Bib Outfit, Waterproof Bibs for Toddlers, Machine Washable, Tug Proof","9
 ","4.8 out of 5 stars
                                 









                                778",7K+ bought in past month
"Bella Tunno Wonder Bib 2pk - Adjustable Silicone Baby Bibs for Girls & Boys, Durable and Waterproof BPA Free Silicone, Miss Mess & Love You a Brunch (WBS113)","22
","4.4 out of 5 stars
                     









                    15,523",4K+ bought in past month
Yookidoo Baby Bath Shower Head - Elephant Water Pump with Trunk Spout Rinser - Control Water Flow from 2 Elephant Trunk Knobs for Maximum Fun in Tub or Sink for Newborn Babies (Turquoise),"24
","4.7 out of 5 stars
                     









                    5,170",2K+ bought in past month
CELLOT Super Stretchy Soft Knot Headbands with Hair Bows Head Wrap Hair Accessories For Newborn Baby Girls Infant Toddlers Kids,"9
 ","4.6 out of 5 stars
                     









                    1,993",5K+ bought in past month
"Water Warmer, HEYVALUE Baby Bottle Warmer, Formula Maker with Night Light, 4 Temperature Control & 72H Keep Warm, Detachable Tank, Instantly Dispenses Warm Water, Feed Baby More Easier and Healthier","44
","4.6 out of 5 stars
                     









                    65,656",10K+ bought in past month
"Infantino Flip 4-in-1 Carrier - Ergonomic, Convertible, face-in and face-Out, Front and Back Carry for Newborns and Older Babies 8-32 lbs","32
","4.3 out of 5 stars
                     









                    2,539",10K+ bought in past month
"Yeeeasy Tummy Time Water Mat 丨Inflatable Tummy Time Water Play Mat for Babies, Infants and Toddlers 3 to 12 Months Promote Development Toys Baby Gifts","9
 ","4.6 out of 5 stars
                     









                    15,535",50+ bought in past month
"Momcozy Universal Stroller Organizer with Insulated Cup Holder Detachable Phone Bag & Shoulder Strap, Fits for Stroller like Uppababy, Baby Jogger, Britax, BOB, Umbrella and Pet Stroller","26
","4.6 out of 5 stars
                       









                      1,764",600+ bought in past month
"FAREVER Baby Wipe Dispenser, 4 Pack Portable Refillable Wipe Holder, Reusable Lightweight Wipes Container Case Holder for Travel Wet Wipe Pouch, Floral","6
 ","4.5 out of 5 stars
                       









                      738",100+ bought in past month
"Crisschirs 6-in-1 XL Large Baby Gym & Ball Pit, Play Mat & Play Gym, Combination Baby Activity Gym with Milestone Cards for Sensory Exploration and Motor Skill Development, Balls are not Included","59
","4.6 out of 5 stars
                       









                      350",2K+ bought in past month
"hiccapop MiniPod Baby Dome for On the Go | Travel Baby Tent for Beach Protects from Sun, Wind, Bugs | Lightweight Portable Baby Bed, Baby Beach Tent for Baby | On the Go Baby Dome for Outside & Inside","84
","4.6 out of 5 stars
                       









                      46,550",2K+ bought in past month
"NumNum Baby Spoons Set, Pre-Spoon GOOtensils for Kids Aged 6+ Months - First Stage, Baby Led Weaning (BLW) Teething Spoon - Self Feeding, Silicone Toddler Food Utensils - 2 Spoons, Lilac/Rosebud","13
","4.6 out of 5 stars
                               









                              4,872",2K+ bought in past month
"14 Pack Baby Doll Accessories, Baby Doll Feeding and Caring Set Includes Diaper Bag, Doll Diapers, Magic Bottle, Changing Mat for Girl Toddler Kid, Babies Pretend Play Set for Birthday Gift Christmas","25
","4.2 out of 5 stars
                     









                    2,363",1K+ bought in past month
"ADOVEL Baby Bassinet Bedside Crib, Pack and Play with Mattress, Diaper Changer and Playards from Newborn to Toddles, Grey","16
","4.3 out of 5 stars
                     









                    1,753",5K+ bought in past month
