product_name,product_price,rating,global_review,past_month_order
Fisher-Price Baby Bouncer Rainforest Jumperoo Activity Center with Music Lights Sounds and Developmental Toys,117,4.8,20067,1000
"Frida Baby Infrared Thermometer 3-in-1 Ear, Forehead + Touchless for Babies, Toddlers, Adults, and Bottle Temperatures,Digital",49,4.5,3248,10000
Yookidoo Baby Bath Shower Head - Elephant Water Pump with Trunk Spout Rinser - Control Water Flow from 2 Elephant Trunk Knobs for Maximum Fun in Tub or Sink for Newborn Babies(Pink),24,4.4,15504,2000
"HIPHOP PANDA Hooded Towel - Rayon Made from Bamboo, Soft Bath Towel with Bear Ears for Babie, Toddler, Infant - Ultra Absorbent, Baby Stuff Shower Gifts for Boy and Girl - (Bear, 30 x 30 Inch)",12,4.8,11662,10000
"Momcozy Warming Lactation Massager 2-in-1, Soft Breast Massager for Breastfeeding, Heat + Vibration Adjustable for Clogged Ducts, Improve Milk Flow, Blue-Green",77,4.7,2497,3000
"RUVALINO Diaper Bag Backpack, Multifunction Travel Back Pack Maternity Baby Changing Bags, Large Capacity, Waterproof and Stylish, Gray",29,4.4,3770,1000
"Infantino Flip Advanced 4-in-1 Carrier - Ergonomic, convertible, face-in and face-out front and back carry for newborns and older babies 8-32 lbs",42,4.8,34170,5000
Frida Baby Medi Frida the Accu-Dose Pacifier Baby Medicine Dispenser,28,4.6,65590,10000
"iHealth No-Touch Forehead Thermometer, Digital Infrared Thermometer for Adults and Kids, Touchless Baby Thermometer, 3 Ultra-Sensitive Sensors, Large LED Digits, Quiet Vibration Feedback, Non Contact",12,4.8,17872,10000
"Portable Diaper Changing Pad, Portable Changing pad for Newborn Girl & Boy - Baby Changing Pad with Smart Wipes Pocket – Waterproof Travel Changing Kit - Baby Gift by Kopi Baby",22,4.4,167830,40000
"Breast Pump, Wearable Breast Pump, Hands Free Breast Pump, 2 Mode & 5 Levels, 24mm Flange, 2 Pack",25,4.8,5675,9000
"Aveeno Baby Welcome Little One Gift Basket, Baby Skincare Set with Baby Body Wash & Shampoo, Calming Bath Wash, All Over Baby Wipes, & Daily Moisturizing Lotion, 5 Items",27,4.2,1368,1000
"Infinno Inflatable Tummy Time Mat Premium Baby Water Play Mat for Infants and Toddlers Baby Toys for 3 to 24 Months, Strengthen Your Baby's Muscles, Portable",69,4.8,0,2000
"haakaa Baby Nail Trimmer Electric Safe Baby Nail Clippers Baby Nail File Kit Manicure Set, Trim Polish Grooming kit for Newborn Toddler or Adults Toes Fingernails, 6 Grinding Heads and LED Light",23,4.4,20266,10000
